ID,TRL2,TRVHR,time
1432566,4.5,23,23.4
1432567,4.5,23,23.4
1433657,4.5,23,23.3
1433724,4.5,23,23.4
1433735,4.5,23,23.4
1433737,4.5,23,23.4
1433745,4.5,23,23.4
1433753,4.5,23,23.2
1433755,4.5,23,23.3
1433756,4.5,23,23.4
1433758,4.5,23,23.4
1433760,4.5,23,23.4
1433765,4.5,23,23.1
1433767,4.5,23,23.4
1433769,4.5,23,23.4
1433770,4.5,23,23.2
1433771,4.5,23,23.4
1433773,4.5,23,23.2
1433778,4.5,23,23.2
1433784,4.5,23,23.1
1433788,4.5,23,23.2
1433789,4.5,23,23.1
1433790,4.5,23,23.2
1433797,4.5,23,23.0
1433802,4.5,23,23.1
1433813,4.5,23,23.2
1433815,4.5,23,23.2
1433820,4.5,23,23.1
1433826,4.5,23,23.1
1433835,4.5,23,23.1
1433839,4.5,23,23.2
1435088,4.5,23,23.3
1435091,4.5,23,23.3
1435092,4.5,23,23.3
1435093,4.5,23,23.2
1435096,4.5,23,23.2
1435099,4.5,23,23.2
1435104,4.5,23,23.3
1435106,4.5,23,23.3
1435107,4.5,23,23.3
1435531,4.5,23,23.2
1435543,4.5,23,23.2
1435550,4.5,23,23.3
1435554,4.5,23,23.1
1435561,4.5,23,23.1
1435564,4.5,23,23.2
1435566,4.5,23,23.2
1435568,4.5,23,23.2
1435575,4.5,23,23.1
1435576,4.5,23,23.1
1435577,4.5,23,23.1
1436008,4.5,23,23.2
1436010,4.5,23,23.2
1436011,4.5,23,23.2
1436012,4.5,23,23.2
1436014,4.5,23,23.2
1436016,4.5,23,23.0
1436017,4.5,23,23.1
1436020,4.5,23,23.2
1436021,4.5,23,23.1
1436025,4.5,23,23.2
1436390,4.5,23,23.4
1436392,4.5,23,23.4
1436393,4.5,23,23.4
1436394,4.5,23,23.3
1436396,4.5,23,23.4
1436397,4.5,23,23.4
1436398,4.5,23,23.4
1436399,4.5,23,23.3
1436400,4.5,23,23.4
1440102,4.5,23,23.1
1440104,4.5,23,23.2
1440114,4.5,23,23.2
1440119,4.5,23,23.2
1440120,4.5,23,23.2
1440125,4.5,23,23.1
1440126,4.5,23,23.1
1440127,4.5,23,23.1
1442958,4.5,23,23.5
1442961,4.5,23,23.6
1442964,4.5,23,23.6
1442965,4.5,23,23.6
1442966,4.5,23,23.6
1442968,4.5,23,23.5
1442974,4.5,23,23.6
1448412,4.5,23,23.1
1448413,4.5,23,23.2
1448414,4.5,23,23.1
1448419,4.5,23,23.1
1448425,4.5,23,23.2
1448427,4.5,23,23.2
1448545,4.5,23,23.5
1448580,4.5,23,23.3
1448582,4.5,23,23.3
1448590,4.5,23,23.3
1448591,4.5,23,23.3
1448594,4.5,23,23.3
1449059,4.5,23,23.4
1449075,4.5,23,23.5
1449370,4.5,23,23.4
1449372,4.5,23,23.4
1449374,4.5,23,23.4
1449375,4.5,23,23.2
1449377,4.5,23,23.4
1449378,4.5,23,23.4
1449383,4.5,23,23.4
1449386,4.5,23,23.4
1449389,4.5,23,23.2
1449392,4.5,23,23.1
1449393,4.5,23,23.2
1449394,4.5,23,23.2
1451635,4.5,23,23.2
1459098,4.5,23,23.2
1459102,4.5,23,23.2
1459106,4.5,23,23.2
1459108,4.5,23,23.2
1459111,4.5,23,23.2
1459112,4.5,23,23.2
1459115,4.5,23,23.3
1459120,4.5,23,23.2
1459123,4.5,23,23.2
1459126,4.5,23,23.2
1459129,4.5,23,23.2
1459132,4.5,23,23.1
1459135,4.5,23,23.1
1459137,4.5,23,23.2
1459147,4.5,23,23.2
1459148,4.5,23,23.2
1459153,4.5,23,23.1
1459154,4.5,23,23.2
1459156,4.5,23,23.1
1459159,4.5,23,23.2
1460316,4.5,23,23.3
1460332,4.5,23,23.2
1460337,4.5,23,23.3
5175,3.5,23,23.9
5477,3.5,23,23.9
5480,3.5,23,23.8
5523,3.5,23,23.9
5524,3.5,23,23.8
5671,3.5,23,23.9
5674,3.5,23,23.9
5675,3.5,23,23.8
5676,3.5,23,23.8
5678,3.5,23,23.8
5684,3.5,23,23.1
5688,3.5,23,23.1
5689,3.5,23,23.1
5690,3.5,23,23.1
5691,3.5,23,23.1
5879,3.5,23,23.9
5882,3.5,23,23.8
5974,3.5,23,23.8
6021,3.5,23,23.9
6099,3.5,23,23.9
