ID,TRL2,TRVHR,time
835691,3.5,27,27.17
835692,3.5,27,27.23
835693,3.5,27,27.23
835694,3.5,27,27.18
835695,3.5,27,27.23
835696,3.5,27,27.18
835697,3.5,27,27.20
835698,3.5,27,27.20
835699,3.5,27,27.17
835700,3.5,27,27.15
835701,3.5,27,27.30
835703,3.5,27,27.15
835774,3.5,27,27.03
835957,3.5,27,27.60
835958,3.5,27,27.62
835964,3.5,27,27.60
835965,3.5,27,27.58
835967,3.5,27,27.13
835968,3.5,27,27.20
835969,3.5,27,27.18
835970,3.5,27,27.25
835971,3.5,27,27.20
835972,3.5,27,27.18
835973,3.5,27,27.15
835976,3.5,27,27.18
835977,3.5,27,27.23
835978,3.5,27,27.17
835979,3.5,27,27.15
839187,3.5,27,27.48
839188,3.5,27,27.50
839189,3.5,27,27.43
839190,3.5,27,27.45
839191,3.5,27,27.50
839192,3.5,27,27.47
839193,3.5,27,27.45
839194,3.5,27,27.07
839195,3.5,27,27.05
839196,3.5,27,27.05
839197,3.5,27,27.03
839198,3.5,27,27.12
839199,3.5,27,27.13
839200,3.5,27,27.07
839201,3.5,27,27.07
839206,3.5,27,27.05
839297,3.5,27,27.18
839459,3.5,27,27.37
839466,3.5,27,27.37
839469,3.5,27,27.58
839471,3.5,27,27.40
839478,3.5,27,27.10
839479,3.5,27,27.10
839481,3.5,27,27.03
839482,3.5,27,27.05
839483,3.5,27,27.05
839484,3.5,27,27.05
839485,3.5,27,27.02
839486,3.5,27,27.05
839487,3.5,27,27.07
839489,3.5,27,27.03
852016,3.5,27,27.97
852037,3.5,27,27.95
852038,3.5,27,27.98
852171,3.5,27,27.03
852172,3.5,27,27.05
852176,3.5,27,27.08
852179,3.5,27,27.00
852180,3.5,27,27.02
852181,3.5,27,27.47
852182,3.5,27,27.50
852183,3.5,27,27.32
852184,3.5,27,27.48
852185,3.5,27,27.43
852186,3.5,27,27.48
852187,3.5,27,27.45
852188,3.5,27,27.50
852189,3.5,27,27.52
852190,3.5,27,27.48
852191,3.5,27,27.48
852371,3.5,27,27.63
852372,3.5,27,27.67
852374,3.5,27,27.62
852377,3.5,27,27.97
852378,3.5,27,27.63
852381,3.5,27,27.63
852382,3.5,27,27.65
852383,3.5,27,27.23
852384,3.5,27,27.23
852385,3.5,27,27.23
852386,3.5,27,27.27
852387,3.5,27,27.22
852388,3.5,27,27.20
852389,3.5,27,27.27
852390,3.5,27,27.27
869038,3.5,27,27.35
869039,3.5,27,27.40
869040,3.5,27,27.33
869041,3.5,27,27.32
869042,3.5,27,27.35
869043,3.5,27,27.32
869044,3.5,27,27.33
869049,3.5,27,27.32
869104,3.5,27,27.25
869113,3.5,27,27.20
869114,3.5,27,27.18
869115,3.5,27,27.22
869116,3.5,27,27.22
869117,3.5,27,27.18
869118,3.5,27,27.22
869119,3.5,27,27.17
869121,3.5,27,27.13
869122,3.5,27,27.18
869125,3.5,27,27.17
869126,3.5,27,27.20
869127,3.5,27,27.22
869128,3.5,27,27.22
869222,3.5,27,27.80
869223,3.5,27,27.78
869225,3.5,27,27.77
869226,3.5,27,27.80
869228,3.5,27,27.78
869229,3.5,27,27.82
869230,3.5,27,27.02
869231,3.5,27,27.00
869232,3.5,27,27.02
869233,3.5,27,27.08
869234,3.5,27,27.00
869235,3.5,27,27.02
869236,3.5,27,27.00
869237,3.5,27,27.02
870077,3.5,27,27.05
870081,3.5,27,27.13
870082,3.5,27,27.10
870085,3.5,27,27.03
870087,3.5,27,27.05
870088,3.5,27,27.12
870089,3.5,27,27.02
870090,3.5,27,27.05
870091,3.5,27,27.05
812157,3,27,27.00
820418,3,27,27.00
676489,4.5,26,26.40
676490,4.5,26,26.37
676492,4.5,26,26.35
682404,4.5,26,26.28
682405,4.5,26,26.38
682406,4.5,26,26.35
682407,4.5,26,26.15
682409,4.5,26,26.35
682410,4.5,26,26.15
682411,4.5,26,26.30
682412,4.5,26,26.30
682413,4.5,26,26.33
682414,4.5,26,26.35
682415,4.5,26,26.32
682416,4.5,26,26.15
786793,4.5,26,26.23
786794,4.5,26,26.20
786795,4.5,26,26.20
786796,4.5,26,26.28
786858,4.5,26,26.17
786879,4.5,26,26.03
786906,4.5,26,26.63
786907,4.5,26,26.53
786908,4.5,26,26.05
804858,4.5,26,26.30
804859,4.5,26,26.23
804860,4.5,26,26.27
804861,4.5,26,26.33
804862,4.5,26,26.23
804863,4.5,26,26.33
804864,4.5,26,26.23
804865,4.5,26,26.20
804866,4.5,26,26.28
804867,4.5,26,26.23
804868,4.5,26,26.23
804869,4.5,26,26.30
804871,4.5,26,26.27
804872,4.5,26,26.20
804873,4.5,26,26.28
809405,4.5,26,26.28
809406,4.5,26,26.28
809408,4.5,26,26.37
809409,4.5,26,26.28
809410,4.5,26,26.33
809411,4.5,26,26.35
809412,4.5,26,26.28
809413,4.5,26,26.28
809414,4.5,26,26.28
809415,4.5,26,26.35
809416,4.5,26,26.37
809417,4.5,26,26.30
809653,4.5,26,26.15
809660,4.5,26,26.02
809704,4.5,26,26.03
809711,4.5,26,26.02
809713,4.5,26,26.05
809799,4.5,26,26.45
809800,4.5,26,26.63
809802,4.5,26,26.60
809803,4.5,26,26.45
809804,4.5,26,26.45
809805,4.5,26,26.55
809806,4.5,26,26.63
809807,4.5,26,26.45
809808,4.5,26,26.58
809811,4.5,26,26.45
812049,4.5,26,26.23
812050,4.5,26,26.23
812051,4.5,26,26.28
812052,4.5,26,26.15
812053,4.5,26,26.28
812184,4.5,26,26.33
812185,4.5,26,26.35
812186,4.5,26,26.30
813350,4.5,26,26.18
813351,4.5,26,26.17
813352,4.5,26,26.18
813353,4.5,26,26.18
813356,4.5,26,26.15
813357,4.5,26,26.17
813358,4.5,26,26.17
813359,4.5,26,26.17
813360,4.5,26,26.15
813361,4.5,26,26.18
813605,4.5,26,26.17
813607,4.5,26,26.23
813610,4.5,26,26.20
813611,4.5,26,26.22
813633,4.5,26,26.02
