"","ID","EID.x","BIRTH","sex","BREED","Breed2","BRTHW","SERUM","SORCE","TRL2","LOADT","...1","source","EID.y","Date_PNEU1","Remark_PNEU1","Date_PNEU2","Remark_PNEU2","Date_PNEU3","Remark_PNEU3","Date_SCOURS1","Remark_SCOURS1","Date_SCOURS2","Remark_SCOURS2","Date_BLOAT1","Remark_BLOAT1","Date_BLOAT2","Remark_BLOAT2","Date_DIED1","Remark_DIED1"
"79",1431983,"USA003306554588","6/18/2025","M","B","B",63,0,"MAD",3,"6/23/2025",25395,"dvcnew_wide","USA003306554588",2025-07-16,"RES6X100",2025-07-21,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1436004,"USA003300757054","6/18/2025","M","B","B",86,0,"SWD",3,"6/23/2025",28280,"dvcnew_wide","USA003300757054",2025-08-03,"RES6X100",2025-08-09,"EXCE-1.5CC",2025-10-07,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1442667,"USA003295034494","6/18/2025","M","B","B",78,0,"RVD",3,"6/23/2025",32451,"dvcnew_wide","USA003295034494",2025-08-19,"RES6X100",2025-08-24,"EXCE-1.5CC",2025-09-20,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1442668,"USA003300812699","6/18/2025","M","B","B",106,0,"RVD",3,"6/23/2025",32452,"dvcnew_wide","USA003300812699",2025-07-30,"RES6X100",2025-08-04,"EXCE-1.5CC",2025-09-25,"RES6X100",2025-06-29,"BISMUTH",NA,NA,NA,NA,NA,NA,NA,NA
"83",1442669,"USA003306593126","6/18/2025","M","B","B",96,0,"RVD",3,"6/23/2025",32453,"dvcnew_wide","USA003306593126",2025-08-28,"RES6X100",2025-09-03,"EXCE-1.5CC",NA,NA,2025-06-27,"ENRO+ELECT",2025-07-01,"ELEC+ADD",NA,NA,NA,NA,NA,NA
"84",1442670,"USA003306589814","6/18/2025","M","B","B",73,0,"RVD",3,"6/23/2025",32454,"dvcnew_wide","USA003306589814",2025-09-09,"RES6X100",2025-09-14,"EXCE-1.5CC",NA,NA,2025-06-29,"BISMUTH",2025-06-29,"ENRO+ELECT",NA,NA,NA,NA,NA,NA
"85",1442672,"USA003313536285","6/18/2025","F","B","B",94,0,"RVD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1442674,"USA003313536265","6/18/2025","M","B","B",105,0,"RVD",3,"6/23/2025",32456,"dvcnew_wide","USA003313536265",2025-09-28,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1442675,"USA003313537156","6/18/2025","M","B","B",75,0,"RVD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1442676,"USA003313536682","6/18/2025","M","B","B",77,0,"RVD",3,"6/23/2025",32457,"dvcnew_wide","USA003313536682",NA,NA,NA,NA,NA,NA,2025-06-29,"BISMUTH",2025-06-29,"ENRO+ELECT",NA,NA,NA,NA,NA,NA
"89",1442678,"USA003313536674","6/18/2025","M","B","B",81,0,"RVD",3,"6/23/2025",32458,"dvcnew_wide","USA003313536674",2025-09-07,"RES6X100",2025-09-12,"EXCE-1.5CC",2025-10-01,"RES6X100",NA,NA,NA,NA,2025-10-01,"MIN OIL",NA,NA,NA,NA
"90",1442679,"USA003313536675","6/18/2025","M","B","B",84,0,"RVD",3,"6/23/2025",32459,"dvcnew_wide","USA003313536675",NA,NA,NA,NA,NA,NA,2025-06-30,"BISMUTH",2025-07-01,"ENRO+ELECT",NA,NA,NA,NA,NA,NA
"91",1442681,"USA003313536677","6/18/2025","M","B","B",88,0,"RVD",3,"6/23/2025",32460,"dvcnew_wide","USA003313536677",2025-08-10,"RES6X100",2025-08-15,"EXCE-1.5CC",2025-09-19,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1442682,"USA003313537138","6/18/2025","F","B","B",80,0,"RVD",3.5,"6/23/2025",32461,"dvcnew_wide","USA003313537138",2025-08-23,"RES6X100",2025-08-28,"EXCE-1.5CC",NA,NA,2025-07-03,"ENRO+ELECT",NA,NA,NA,NA,NA,NA,NA,NA
"93",1442684,"USA003313537142","6/18/2025","M","B","B",95,0,"RVD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1442685,"USA003313536683","6/18/2025","M","B","B",84,0,"RVD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",1448374,"USA003295980578","6/18/2025","F","B","B",85,0,"GAD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",1448375,"USA003306582390","6/18/2025","F","B","B",85,0,"GAD",3.5,"6/23/2025",35123,"dvcnew_wide","USA003306582390",2025-08-13,"RES6X100",2025-08-19,"EXCE-1.5CC",2025-10-02,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",1448376,"USA003295980580","6/18/2025","F","B","B",85,0,"GAD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",1448378,"USA003306583067","6/18/2025","F","B","B",96,0,"GAD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",1448381,"USA003306582297","6/18/2025","F","B","B",85,0,"GAD",3.5,"6/23/2025",35127,"dvcnew_wide","USA003306582297",2025-07-15,"RES6X100",2025-07-20,"EXCE-1.5CC",2025-10-25,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1451251,"USA003313531013","6/18/2025","F","B","B",98,0,"D45",3.5,"6/23/2025",36949,"dvcnew_wide","USA003313531013",2025-08-24,"RES6X100",2025-08-29,"EXCE-1.5CC",2025-09-23,"EXCE-1.5CC",2025-06-27,"ENRO+ELECT",2025-06-29,"ELEC+ADD",NA,NA,NA,NA,NA,NA
"101",1451254,"USA003313531029","6/18/2025","F","B","B",86,0,"D45",3.5,"6/23/2025",36951,"dvcnew_wide","USA003313531029",2025-08-30,"RES6X100",2025-09-04,"EXCE-1.5CC",2025-09-21,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",1451260,"USA003313531012","6/18/2025","F","B","B",89,0,"D45",3.5,"6/23/2025",36955,"dvcnew_wide","USA003313531012",2025-08-29,"RES6X100",2025-09-03,"EXCE-1.5CC",2025-09-21,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",682001,"USA003306706602","6/19/2025","F","D","D",70,0,"NOD",3,"6/23/2025",46850,"tccnew_wide","USA003306706602",NA,NA,NA,NA,NA,NA,2025-06-29,"ADDPACK",NA,NA,NA,NA,NA,NA,NA,NA
