"","ID","EID.x","BIRTH","sex","BREED","Breed2","TRVHR","time","BRTHW","SERUM","SORCE","TRL2.x","LOADT","Date_PNEU1","Remark_PNEU1","Date_PNEU2","Remark_PNEU2","Date_PNEU3","Remark_PNEU3","Date_SCOURS1","Remark_SCOURS1","Date_SCOURS2","Remark_SCOURS2","Date_BLOAT1","Remark_BLOAT1","Date_BLOAT2","Remark_BLOAT2","Date_NAVEL1","Remark_NAVEL1","Date_NAVEL2","Remark_NAVEL2","Date_NAVEL3","Remark_NAVEL3","Date_DIED1","Remark_DIED1","TRL2","LOADT_date","ARR","diaload","diaARR","dfaP1","dbtwP12","dbtwP23","dfaP2","dfaP3","dfaD1","dfaD2","dbtwD12","dfaB1","dfaB2","dfaN1","dfaN2","dfaN3","dfaDIED","LOAD","n","sbTRT","SD","Sex","DB","DBxS","Behav?","TRVhr","...10","transitT","PN1a","PN2","PN3","DIA1","DIA2","B1","B2","N1","DIED","PN2a","Date_PN1a","Date_PN2a"
"9207",1459231,"USA003313535755",2025-07-24,"M","B","B",21,21.5,109,0,"GAD",3.5,2025-07-30,2025-08-22,"RES6X100",2025-08-27,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,6,7,22,5,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.5,1,1,0,0,0,0,0,0,0,0,2025-08-22,NA
"9208",5496,"USA003306585556",2025-07-25,"M","C","B",21,21.5,83,0,"LOD",3.5,2025-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.5,0,0,0,0,0,0,0,0,0,0,NA,NA
"9209",5529,"USA003295978900",2025-07-25,"M","C","B",21,21.6,76,0,"MSD",3.5,2025-07-30,2025-10-04,"RES6X100",2025-10-09,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,65,5,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.6,1,1,0,0,0,0,0,0,0,0,2025-10-04,NA
"9210",5530,"USA003295978894",2025-07-25,"M","C","B",21,21.5,75,0,"MSD",3.5,2025-07-30,2025-08-19,"RES6X100",2025-08-24,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,19,5,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.5,1,1,0,0,0,0,0,0,0,0,2025-08-19,NA
"9211",6488,"USA003295912599",2025-07-25,"M","C","B",21,21.2,65,66,"CAD",3.5,2025-07-30,2025-08-20,"RES6X100",2025-08-24,"EXCE-1.5CC",2025-11-05,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,20,4,73,24,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.2,1,1,1,0,0,0,0,0,0,1,2025-08-20,2025-11-05
"9212",1416996,"USA003313546054",2025-07-25,"M","B","B",21,21.6,108,0,"WAD",3.5,2025-07-30,2025-08-29,"RES6X100",2025-09-03,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,29,5,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.6,1,1,0,0,0,0,0,0,0,0,2025-08-29,NA
"9213",1417000,"USA003306581806",2025-07-25,"M","B","B",21,21.6,98,0,"WAD",3.5,2025-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.6,0,0,0,0,0,0,0,0,0,0,NA,NA
"9214",1423155,"USA003291544359",2025-07-25,"M","B","B",21,21.7,81,0,"WSD",3.5,2025-07-30,2025-08-28,"RES6X100",2025-09-02,"EXCE-1.5CC",2025-10-31,"RES6X100",NA,NA,NA,NA,2025-09-07,"MIN OIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,28,5,59,33,92,NA,NA,NA,38,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.7,1,1,1,0,0,1,0,0,0,1,2025-08-28,2025-10-31
"9215",1423156,"USA003311868836",2025-07-25,"F","B","B",20,20.4,87,0,"WSD",4.5,2025-07-30,2025-09-10,"RES6X100",2025-09-15,"EXCE-1.5CC",2025-09-15,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5",2025-07-30,2025-07-31,5,6,41,5,0,46,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_4.5_B",185,"BF4.5",4.5,"F","B","BF",0,19.7,NA,20.4,1,1,1,0,0,0,0,0,0,0,2025-09-10,NA
"9216",1423157,"USA003311868687",2025-07-25,"M","B","B",21,21.7,94,0,"WSD",3.5,2025-07-30,2025-10-08,"RES6X100",2025-10-13,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,69,5,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.7,1,1,0,0,0,0,0,0,0,0,2025-10-08,NA
"9217",1423160,"USA003311868854",2025-07-25,"M","B","B",21,21.5,81,0,"WSD",3.5,2025-07-30,2025-11-01,"RES6X100",2025-11-11,"EXCE-1.5CC",NA,NA,2025-08-05,"ENRO+ELECT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,93,10,NA,103,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.5,1,1,0,1,0,0,0,0,0,1,2025-11-01,2025-11-11
"9218",1423161,"USA003311868698",2025-07-25,"M","B","B",21,21.5,94,0,"WSD",3.5,2025-07-30,2025-08-28,"RES6X100",2025-09-02,"EXCE-1.5CC",2025-10-28,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,28,5,56,33,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.5,1,1,1,0,0,0,0,0,0,1,2025-08-28,2025-10-28
"9219",1423162,"USA003311868833",2025-07-25,"F","B","B",20,20.5,72,0,"WSD",4.5,2025-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5",2025-07-30,2025-07-31,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_4.5_B",185,"BF4.5",4.5,"F","B","BF",0,19.7,NA,20.5,0,0,0,0,0,0,0,0,0,0,NA,NA
"9220",1423163,"USA003300801677",2025-07-25,"M","B","B",21,21.7,104,0,"WSD",3.5,2025-07-30,2025-10-28,"EXCE-1.5CC",2025-10-28,"RES6X100",2025-11-09,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,2025-07-31,"POLYFL",2025-08-01,"POLYFL",2025-08-02,"POLYFL",NA,NA,"3.5",2025-07-30,2025-07-31,5,6,89,0,12,89,101,NA,NA,NA,NA,NA,0,1,2,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.7,1,1,1,0,0,0,0,1,0,1,2025-10-28,2025-11-09
"9221",1423164,"USA003311868585",2025-07-25,"F","B","B",20,20.4,78,0,"WSD",4.5,2025-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5",2025-07-30,2025-07-31,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_4.5_B",185,"BF4.5",4.5,"F","B","BF",0,19.7,NA,20.4,0,0,0,0,0,0,0,0,0,0,NA,NA
"9222",1423165,"USA003311868686",2025-07-25,"F","B","B",20,20.4,92,0,"WSD",4.5,2025-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5",2025-07-30,2025-07-31,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_4.5_B",185,"BF4.5",4.5,"F","B","BF",0,19.7,NA,20.4,0,0,0,0,0,0,0,0,0,0,NA,NA
"9223",1423167,"USA003311868837",2025-07-25,"M","B","B",21,21.5,72,0,"WSD",3.5,2025-07-30,2025-11-04,"RES6X100",2025-11-10,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,96,6,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.5,1,1,0,0,0,0,0,0,0,0,2025-11-04,NA
"9224",1423168,"USA003311868906",2025-07-25,"M","B","B",21,21.7,105,0,"WSD",3.5,2025-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.7,0,0,0,0,0,0,0,0,0,0,NA,NA
"9225",1423169,"USA003311868531",2025-07-25,"M","B","B",21,21.5,80,0,"WSD",3.5,2025-07-30,2025-11-08,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.5,1,0,0,0,0,0,0,0,0,0,2025-11-08,NA
"9226",1423171,"USA003311868685",2025-07-25,"M","B","B",21,21.5,95,0,"WSD",3.5,2025-07-30,2025-11-02,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.5,1,0,0,0,0,0,0,0,0,0,2025-11-02,NA
"9227",1423173,"USA003311868964",2025-07-25,"M","B","B",21,21.5,72,0,"WSD",3.5,2025-07-30,2025-11-17,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-07-30,2025-07-31,5,6,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-30_3.5_B",242,"BM3.5",3.5,"M","B","BM",0,20.7,NA,21.5,1,0,0,0,0,0,0,0,0,0,2025-11-17,NA
