"","CalfID","sex","Breed2","stp","BRTHW","SORCE","SD","DB","diaload","diaARR","LOAD","week","transitT","PN1a","PN2a","DIA1","D30","P30","P60","D30yn","D60yn","diaex","navelex","DIA30","PNEU30","PNEU60","Nav30","N30","DED30","DED60","Remark_PNEU1","Remark_DIED1","SD_DB"
"57",1426309,"F","B",0,91,"MSD",3.5,"B",5,6,"2025-06-23_3.5_B","A",23.7,1,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"58",1426310,"F","B",0,88,"MSD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.7,0,0,0,0,0,0,1,1,0,0,30,30,60,30,0,23,23,NA,"INFECTION","3.5_B"
"59",1427860,"F","B",0,106,"CLD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.9,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"60",1427862,"F","B",0,86,"CLD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.9,1,0,0,NA,0,0,0,0,1,0,NA,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"61",1427864,"F","B",0,82,"CLD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.7,1,0,0,0,1,1,0,0,0,0,30,29,29,30,0,30,60,"RES6X100",NA,"3.5_B"
"62",1427871,"M","B",0,93,"CLD",3,"B",5,6,"2025-06-23_3_B","A",22.7,1,1,0,NA,0,0,0,0,1,0,NA,30,60,30,0,30,60,"RES6X100",NA,"3_B"
"63",1427873,"F","B",0,57,"CLD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.9,1,1,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"64",1428537,"F","B",0,70,"NOD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.9,1,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"65",1428540,"F","B",0,85,"NOD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.9,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"66",1428541,"F","B",0,69,"NOD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.8,1,1,0,NA,1,1,0,0,1,0,NA,16,16,30,0,30,60,"RES6X100",NA,"3.5_B"
"67",1428544,"F","B",0,84,"NOD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.8,1,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"68",1428547,"F","B",0,84,"NOD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.8,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"69",1428548,"F","B",0,86,"NOD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.9,1,1,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"70",1428552,"M","B",0,78,"NOD",3,"B",5,6,"2025-06-23_3_B","A",22.9,1,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3_B"
"71",1431934,"F","B",0,97,"MAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.8,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"72",1431940,"F","B",0,80,"MAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.8,1,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"73",1431944,"F","B",0,90,"MAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",23,1,0,0,0,1,1,0,0,0,0,30,22,22,30,0,30,60,"RES6X100",NA,"3.5_B"
"74",1431954,"F","B",0,73,"MAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.7,1,1,1,1,0,0,0,0,0,0,7,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"75",1431955,"F","B",0,85,"MAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.7,1,1,0,0,0,1,0,0,0,0,30,30,38,30,0,30,60,"RES6X100",NA,"3.5_B"
"76",1431956,"M","B",0,79,"MAD",3,"B",5,6,"2025-06-23_3_B","A",22.7,0,0,0,NA,0,0,0,0,1,0,NA,30,60,30,0,30,60,NA,NA,"3_B"
"77",1431968,"F","B",0,77,"MAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.7,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"78",1431974,"M","B",0,100,"MAD",3,"B",5,6,"2025-06-23_3_B","A",22.7,0,0,0,NA,0,0,0,0,1,0,NA,30,60,30,0,30,60,NA,NA,"3_B"
"79",1431983,"M","B",0,63,"MAD",3,"B",5,6,"2025-06-23_3_B","A",22.5,1,0,0,0,1,1,0,0,0,0,30,22,22,30,0,30,60,"RES6X100",NA,"3_B"
"80",1436004,"M","B",0,86,"SWD",3,"B",5,6,"2025-06-23_3_B","A",23.4,1,1,0,0,0,1,0,0,0,0,30,30,40,30,0,30,60,"RES6X100",NA,"3_B"
"81",1442667,"M","B",0,78,"RVD",3,"B",5,6,"2025-06-23_3_B","A",22.6,1,1,0,0,0,1,0,0,0,1,30,30,56,NA,NA,30,60,"RES6X100",NA,"3_B"
"82",1442668,"M","B",0,106,"RVD",3,"B",5,6,"2025-06-23_3_B","A",22.6,1,1,1,1,0,1,0,0,0,0,5,30,36,30,0,30,60,"RES6X100",NA,"3_B"
"83",1442669,"M","B",0,96,"RVD",3,"B",5,6,"2025-06-23_3_B","A",22.6,1,0,1,1,0,0,0,0,0,0,3,30,60,30,0,30,60,"RES6X100",NA,"3_B"
"84",1442670,"M","B",0,73,"RVD",3,"B",5,6,"2025-06-23_3_B","A",22.6,1,0,1,1,0,0,0,0,0,0,5,30,60,30,0,30,60,"RES6X100",NA,"3_B"
"85",1442672,"F","B",0,94,"RVD",3.5,"B",5,6,"2025-06-23_3.5_B","A",23.6,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"86",1442674,"M","B",0,105,"RVD",3,"B",5,6,"2025-06-23_3_B","A",22.6,1,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3_B"
"87",1442675,"M","B",0,75,"RVD",3,"B",5,6,"2025-06-23_3_B","A",22.6,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_B"
"88",1442676,"M","B",0,77,"RVD",3,"B",5,6,"2025-06-23_3_B","A",22.6,0,0,1,1,0,0,0,0,0,0,5,30,60,30,0,30,60,NA,NA,"3_B"
"89",1442678,"M","B",0,81,"RVD",3,"B",5,6,"2025-06-23_3_B","A",22.7,1,1,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3_B"
"90",1442679,"M","B",0,84,"RVD",3,"B",5,6,"2025-06-23_3_B","A",22.6,0,0,1,1,0,0,0,0,0,0,6,30,60,30,0,30,60,NA,NA,"3_B"
"91",1442681,"M","B",0,88,"RVD",3,"B",5,6,"2025-06-23_3_B","A",22.7,1,1,0,0,0,1,0,0,0,0,30,30,47,30,0,30,60,"RES6X100",NA,"3_B"
"92",1442682,"F","B",0,80,"RVD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.7,1,0,1,1,0,0,0,0,0,0,9,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"93",1442684,"M","B",0,95,"RVD",3,"B",5,6,"2025-06-23_3_B","A",23.4,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_B"
"94",1442685,"M","B",0,84,"RVD",3,"B",5,6,"2025-06-23_3_B","A",23.5,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_B"
"95",1448374,"F","B",0,85,"GAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",23,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"96",1448375,"F","B",0,85,"GAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.9,1,1,0,0,0,1,0,0,0,0,30,30,50,30,0,30,60,"RES6X100",NA,"3.5_B"
"97",1448376,"F","B",0,85,"GAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",23,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"98",1448378,"F","B",0,96,"GAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",23,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"99",1448381,"F","B",0,85,"GAD",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.7,1,1,0,0,1,1,0,0,0,0,30,21,21,30,0,30,60,"RES6X100",NA,"3.5_B"
"100",1451251,"F","B",0,98,"D45",3.5,"B",5,6,"2025-06-23_3.5_B","A",22.7,1,1,1,1,0,0,0,0,0,0,3,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"101",1451254,"F","B",0,86,"D45",3.5,"B",5,6,"2025-06-23_3.5_B","A",23.5,1,1,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"102",1451260,"F","B",0,89,"D45",3.5,"B",5,6,"2025-06-23_3.5_B","A",23.5,1,1,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,"RES6X100",NA,"3.5_B"
"103",682001,"F","D",0,70,"NOD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,1,1,0,0,0,0,0,0,5,30,60,30,0,30,60,NA,NA,"3_D"
"104",682002,"F","D",0,75,"NOD",3,"D",4,5,"2025-06-23_3_D","A",25,1,0,1,1,0,1,0,0,0,0,5,30,49,30,0,30,60,"RESF-6CC",NA,"3_D"
"105",786751,"F","D",0,78,"DUD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"106",786752,"F","D",0,62,"DUD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,1,1,0,0,0,0,0,0,4,30,60,30,0,30,60,NA,NA,"3_D"
"107",786753,"F","D",0,74,"DUD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"108",786754,"F","D",0,70,"DUD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"109",786755,"F","D",0,76,"DUD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"110",786756,"F","D",0,74,"DUD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"111",786757,"F","D",0,64,"DUD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"112",796451,"F","D",0,77,"WRD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
