"","Cow","hoursfrom","lyingm","standingm","steps","mi","transitions","Date","Time","End","Steps","Motion Index","Lying Time","Standing Time","Transitions","Transitions Up","Transitions Down","CalfID","Bdat","FOO","BRTHW","stp","Breed2","diaload","diaARR","TRT","OneLoad","DatMOC","IceCube","DatON","TimeONp","ToTCC","TimetoTCCp","Section","ArrTCC","TimeArrTCCp","TimeTrip","DatOFF","TimeOFFp","PN1a","DIA1","D30","P30","P60","datetime","datetimeon","datetimeoff","match_flag","tfship","timecat"
"23",100,15,31.3166666666667,28.6833333333333,31,184,3,2025-07-01,05:23:00,"7/1/2025 5:38",5,39,00:13:04,00:01:56,1,0,1,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 05:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,57,"during"
"24",100,16,52.1833333333333,7.81666666666667,27,177,6,2025-07-01,06:23:00,"7/1/2025 6:38",9,40,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 06:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,61,"during"
"25",100,17,60,0,0,47,0,2025-07-01,07:23:00,"7/1/2025 7:38",0,26,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 07:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,65,"during"
"26",100,18,60,0,0,23,0,2025-07-01,08:23:00,"7/1/2025 8:38",0,0,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 08:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,69,"during"
"27",100,19,53.85,6.15,10,101,2,2025-07-01,09:23:00,"7/1/2025 9:38",0,6,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 09:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,73,"during"
"28",100,20,22.6333333333333,37.3666666666667,31,235,6,2025-07-01,10:23:00,"7/1/2025 10:38",0,26,00:14:43,00:00:17,1,1,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 10:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,77,"during"
"29",100,21,27.1166666666667,32.8833333333333,34,318,3,2025-07-01,11:23:00,"7/1/2025 11:38",5,49,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 11:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,81,"during"
"30",100,22,30.7666666666667,29.2333333333333,27,161,3,2025-07-01,12:23:00,"7/1/2025 12:38",4,35,00:03:56,00:11:04,1,0,1,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 12:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,85,"during"
"31",100,23,50.3333333333333,9.66666666666667,10,90,1,2025-07-01,13:23:00,"7/1/2025 13:38",7,31,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 13:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,89,"during"
"32",100,24,43.05,16.95,38,476,3,2025-07-01,14:23:00,"7/1/2025 14:38",27,119,00:02:10,00:12:50,1,0,1,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 14:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,93,"during"
