Cow,CalfID,Bdat,FOO,DatMOC,IceCube,DatON,TimeON,TimeONp,TRT,ToTCC,TimetoTCC,TimetoTCCp,Section,ArrTCC,TimeArrTCC,TimeArrTCCp,TimeTrip,DatOFF,TimeOFF,TimeOFFp
145,814178,6/26/25,WAD   , 6/27/25 ,7643,6/27/25,15:00,20:00,DF4.5,6/30/25,8:11,13:11,G ,7/1/25,10:01,15:01,25.8,7/3/25,9:00,14:00
146,820168,6/26/25,WSD   , 6/27/25 ,7644,6/27/25,15:00,20:00,DF4.5,6/30/25,8:01,13:01,B ,7/1/25,10:17,15:17,26.3,7/3/25,9:00,14:00
147,814174,6/26/25,WAD   , 6/27/25 ,7645,6/27/25,15:00,20:00,DF4.5,6/30/25,8:21,13:21,G ,7/1/25,10:03,15:03,25.7,7/3/25,9:00,14:00
148,682115,6/26/25,NOD   , 6/27/25 ,7660,6/27/25,15:00,20:00,DF4.5,6/30/25,8:09,13:09,F ,7/1/25,10:04,15:04,25.9,7/3/25,9:00,14:00
149,820174,6/27/25,WSD   , 6/27/25 ,7661,6/27/25,15:00,20:00,DF4.5,6/30/25,8:00,13:00,B ,7/1/25,10:17,15:17,26.3,7/3/25,9:00,14:00
150,682108,6/26/25,NOD   , 6/27/25 ,7676,6/27/25,15:00,20:00,DF4.5,6/30/25,8:09,13:09,F ,7/1/25,10:04,15:04,25.9,7/3/25,9:00,14:00
151,682110,6/26/25,NOD   , 6/27/25 ,7677,6/27/25,15:00,20:00,DF4.5,6/30/25,8:10,13:10,F ,7/1/25,10:05,15:05,25.9,7/3/25,9:00,14:00
152,813346,6/26/25,SWD   , 6/27/25 ,7685,6/27/25,15:00,20:00,DF4.5,6/30/25,8:25,13:25,H ,7/1/25,10:00,15:00,25.6,7/3/25,9:00,14:00
153,844311,6/26/25,CAD   , 6/27/25 ,7697,6/27/25,15:00,20:00,DF4.5,6/30/25,8:23,13:23,H ,7/1/25,10:01,15:01,25.6,7/3/25,9:00,14:00
154,844313,6/26/25,CAD   , 6/27/25 ,7700,6/27/25,15:00,20:00,DF4.5,6/30/25,8:22,13:22,G ,7/1/25,10:02,15:02,25.7,7/3/25,9:00,14:00
155,820171,6/26/25,WSD   , 6/27/25 ,7704,6/27/25,15:00,20:00,DF4.5,6/30/25,8:04,13:04,C ,7/1/25,10:14,15:14,26.2,7/3/25,9:00,14:00
156,812053,6/26/25,CLD   , 6/27/25 ,7705,6/27/25,15:00,20:00,DF4.5,6/30/25,8:00,13:00,B ,7/1/25,10:17,15:17,26.3,7/3/25,9:00,14:00
157,682105,6/26/25,NOD   , 6/27/25 ,7706,6/27/25,15:00,20:00,DF4.5,6/30/25,8:10,13:10,F ,7/1/25,10:06,15:06,25.9,7/3/25,9:00,14:00
